"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Code\2024\blank_app\src\app\dashboard\users\page.tsx", "TypeScript JSX", 0, 0, 226, 0, 9, 235
"c:\Code\2024\blank_app\src\app\inquiry\[id]\page.tsx", "TypeScript JSX", 0, 0, 274, 6, 27, 307
"c:\Code\2024\blank_app\src\app\inquiry\create\page.tsx", "TypeScript JSX", 0, 0, 81, 0, 13, 94
"c:\Code\2024\blank_app\src\app\inquiry\page.tsx", "TypeScript JSX", 0, 0, 156, 0, 8, 164
"c:\Code\2024\blank_app\src\app\layout-content.tsx", "TypeScript JSX", 0, 0, 18, 0, 5, 23
"c:\Code\2024\blank_app\src\app\layout.tsx", "TypeScript JSX", 0, 0, 86, 2, 13, 101
"c:\Code\2024\blank_app\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 101, 0, 9, 110
"c:\Code\2024\blank_app\src\app\page.tsx", "TypeScript JSX", 0, 0, 93, 2, 6, 101
"c:\Code\2024\blank_app\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 68, 0, 10, 78
"c:\Code\2024\blank_app\src\app\services\content.tsx", "TypeScript JSX", 0, 0, 53, 0, 7, 60
"c:\Code\2024\blank_app\src\app\services\page.tsx", "TypeScript JSX", 0, 0, 50, 0, 7, 57
"c:\Code\2024\blank_app\src\app\signup\page.tsx", "TypeScript JSX", 0, 0, 139, 0, 14, 153
"c:\Code\2024\blank_app\src\app\team-members\[id]\page.tsx", "TypeScript JSX", 0, 0, 154, 7, 13, 174
"c:\Code\2024\blank_app\src\app\team-members\content.tsx", "TypeScript JSX", 0, 0, 140, 1, 13, 154
"c:\Code\2024\blank_app\src\app\team-members\page.tsx", "TypeScript JSX", 0, 0, 42, 0, 5, 47
"c:\Code\2024\blank_app\src\components\CustomCarousel.tsx", "TypeScript JSX", 0, 0, 57, 0, 7, 64
"c:\Code\2024\blank_app\src\components\FAQSection.tsx", "TypeScript JSX", 0, 0, 48, 0, 11, 59
"c:\Code\2024\blank_app\src\components\FileThumbnail.tsx", "TypeScript JSX", 0, 0, 53, 0, 3, 56
"c:\Code\2024\blank_app\src\components\FileUploader\FileUploader.tsx", "TypeScript JSX", 0, 0, 175, 0, 21, 196
