"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Code\2024\blank_app\src\services\SettingService.ts", "TypeScript", 29, 0, 0, 0, 12, 41
"c:\Code\2024\blank_app\src\services\UserService.ts", "TypeScript", 231, 0, 0, 0, 42, 273
"c:\Code\2024\blank_app\src\styles\carousel.css", "CSS", 0, 43, 0, 2, 7, 52
"c:\Code\2024\blank_app\src\styles\globals.css", "CSS", 0, 23, 0, 2, 6, 31
"c:\Code\2024\blank_app\src\types\types.d.ts", "TypeScript", 8, 0, 0, 1, 3, 12
"c:\Code\2024\blank_app\src\utils\api\apiClient.ts", "TypeScript", 102, 0, 0, 8, 22, 132
"c:\Code\2024\blank_app\src\utils\filesUtil.ts", "TypeScript", 80, 0, 0, 0, 11, 91
"c:\Code\2024\blank_app\src\utils\firebaseClient.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"c:\Code\2024\blank_app\src\utils\getTranslatedText.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\Code\2024\blank_app\src\utils\roleUtils.ts", "TypeScript", 16, 0, 0, 6, 4, 26
"c:\Code\2024\blank_app\src\utils\server\handleError.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"c:\Code\2024\blank_app\src\utils\server\sendPaymentEmail.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"Total", "-", 7311, 160, 11587, 231, 2307, 21596
